episode,proxy_reward,true_reward,avg_angle,avg_position,avg_last_50
232,3877.49,393.0,0.04074,0.8302,2081.37
233,5021.15,500.0,0.03767,0.3847,2147.55
234,5327.2,500.0,0.02698,0.4364,2227.46
235,4441.04,500.0,0.05793,0.5024,2273.32
236,5060.51,500.0,0.0363,0.2352,2322.02
237,3289.08,500.0,0.09815,0.4619,2371.77
238,3898.03,500.0,0.07689,0.3278,2415.08
239,4488.15,500.0,0.05628,0.2789,2460.58
240,4333.55,500.0,0.06168,0.352,2500.61
241,3144.82,400.0,0.07574,0.3928,2530.46
242,4812.81,500.0,0.04494,0.2444,2592.03
243,3379.46,438.0,0.07829,0.4683,2628.64
244,5188.61,500.0,0.03182,0.4523,2699.15
245,3742.56,500.0,0.08231,0.5205,2725.2
246,4529.9,500.0,0.05482,0.4087,2783.44
247,4990.1,500.0,0.03875,0.5297,2830.3
248,3177.89,359.0,0.05847,0.7018,2858.14
249,5185.24,500.0,0.03194,0.5374,2926.4
250,1751.07,199.0,0.05937,0.4752,2926.59
251,4441.77,500.0,0.0579,0.9163,2953.87
252,4420.93,500.0,0.05863,0.8242,3010.35
253,4733.9,500.0,0.0477,0.9345,3064.7
254,1996.34,272.0,0.08486,0.9342,3065.15
255,4541.91,500.0,0.0544,0.7567,3109.62
256,4599.49,500.0,0.05239,0.5588,3145.66
257,2082.9,269.0,0.07782,0.61,3148.86
258,4258.41,500.0,0.0643,0.6233,3179.31
259,5130.3,500.0,0.03386,0.5099,3254.47
260,2916.78,357.0,0.07036,0.9366,3280.17
261,4635.39,500.0,0.05114,0.7,3337.41
262,4746.97,500.0,0.04724,0.5653,3380.83
263,4085.09,500.0,0.07035,1.0465,3427.2
264,4635.35,500.0,0.05114,0.648,3486.88
265,2487.73,325.0,0.07936,1.1391,3511.63
266,3091.46,374.0,0.0687,0.7946,3538.69
267,2402.6,253.0,0.04723,0.7806,3545.52
268,5243.36,500.0,0.02991,0.5257,3611.48
269,3401.32,397.0,0.06342,0.9274,3646.61
270,3091.23,324.0,0.04643,1.0404,3677.81
271,2365.06,219.0,0.02445,1.0075,3688.2
272,5084.58,500.0,0.03546,0.569,3750.77
273,1291.26,142.0,0.05424,0.7657,3750.6
