episode,proxy_reward,true_reward,avg_angle,avg_last_50
394,40.87,15.0,0.11498,50.37
395,37.15,16.0,0.08811,50.36
396,25.34,12.0,0.07409,49.4
397,63.5,26.0,0.09615,49.43
398,34.99,14.0,0.09997,49.31
399,53.17,25.0,0.07513,49.31
400,34.46,15.0,0.08651,47.45
401,50.19,22.0,0.08541,47.97
402,61.07,32.0,0.06057,48.47
403,37.59,15.0,0.10042,48.72
404,34.61,15.0,0.08718,48.64
405,39.57,17.0,0.08849,48.8
406,30.32,11.0,0.11708,48.95
407,73.17,38.0,0.0617,49.68
408,38.76,16.0,0.09485,49.72
409,45.91,24.0,0.06085,49.14
410,33.26,13.0,0.10388,49.06
411,104.54,43.0,0.09541,50.62
412,42.46,16.0,0.11023,50.8
413,56.54,26.0,0.07831,51.41
414,38.4,14.0,0.11619,49.85
415,49.51,23.0,0.07683,50.2
416,37.36,16.0,0.08899,50.27
417,43.41,17.0,0.10357,50.16
418,54.76,24.0,0.08546,50.8
419,72.83,37.0,0.06456,51.37
420,49.02,24.0,0.0695,50.92
421,91.39,53.0,0.04829,51.41
422,50.8,23.0,0.08059,50.24
423,49.72,24.0,0.07144,50.47
424,92.09,34.0,0.1139,51.16
425,34.17,14.0,0.09605,50.7
426,34.81,16.0,0.07838,50.46
427,58.37,31.0,0.05885,49.91
428,32.51,15.0,0.07781,49.57
429,37.88,15.0,0.10168,49.33
430,41.56,16.0,0.10652,46.3
431,42.92,22.0,0.06339,46.36
432,29.63,12.0,0.09792,46.03
433,93.29,43.0,0.07797,47.49
434,50.75,28.0,0.05416,47.69
435,32.28,13.0,0.09886,47.54
436,23.45,9.0,0.10701,47.39
437,25.47,11.0,0.08768,46.93
438,29.99,13.0,0.08715,46.89
439,37.71,18.0,0.07299,46.81
440,24.96,9.0,0.11825,46.73
441,31.45,16.0,0.06438,46.51
442,56.43,26.0,0.07804,46.82
443,37.72,13.0,0.12678,46.44
444,36.1,19.0,0.05999,46.35
445,28.41,11.0,0.10554,46.17
446,46.64,24.0,0.0629,46.6
447,39.55,18.0,0.07981,46.12
448,42.14,21.0,0.06711,46.26
449,74.49,30.0,0.09886,46.69
450,29.76,12.0,0.09865,46.59
451,25.26,11.0,0.08644,46.1
452,34.06,17.0,0.06691,45.56
453,89.09,38.0,0.08964,46.59
454,32.19,13.0,0.0984,46.54
455,35.74,15.0,0.09216,46.46
456,44.12,22.0,0.06705,46.74
457,26.8,10.0,0.11202,45.81
458,53.87,23.0,0.08947,46.11
459,36.18,16.0,0.08407,45.92
460,29.13,12.0,0.09516,45.83
461,33.24,13.0,0.10382,44.41
462,30.76,15.0,0.07006,44.17
463,25.12,12.0,0.07288,43.55
464,80.84,27.0,0.13295,44.39
465,59.43,20.0,0.13145,44.59
466,41.77,20.0,0.07256,44.68
467,65.26,37.0,0.05092,45.12
468,29.13,12.0,0.09519,44.61
469,46.6,22.0,0.07453,44.08
470,72.7,25.0,0.1272,44.55
471,96.15,52.0,0.0566,44.65
472,37.63,18.0,0.0727,44.39
473,60.6,26.0,0.08872,44.6
474,24.29,10.0,0.09529,43.25
