episode,proxy_reward,true_reward,avg_velocity,avg_last_50
291,406.54,171.0,0.6887,587.84
292,418.07,156.0,0.84,574.72
293,108.72,61.0,0.3911,556.0
294,403.39,139.0,0.951,548.23
295,873.36,367.0,0.6899,556.18
296,382.82,149.0,0.7846,547.48
297,342.73,124.0,0.882,531.13
298,425.2,177.0,0.7011,522.73
299,810.63,363.0,0.6166,522.58
300,316.78,149.0,0.563,507.16
301,246.87,117.0,0.555,495.95
302,553.39,219.0,0.7634,489.16
303,244.5,105.0,0.6643,479.36
304,492.7,222.0,0.6097,474.09
305,675.0,293.0,0.6519,471.03
306,329.01,192.0,0.3568,461.44
307,809.86,387.0,0.5463,460.53
308,454.28,170.0,0.8361,460.55
309,379.65,207.0,0.417,447.93
310,392.71,239.0,0.3216,443.28
311,545.75,323.0,0.3448,439.31
312,638.94,321.0,0.4952,444.42
313,563.13,210.0,0.8408,447.05
314,503.36,243.0,0.5357,443.28
315,495.54,218.0,0.6366,442.29
316,208.15,120.0,0.3673,438.84
317,570.51,282.0,0.5115,443.18
318,446.5,220.0,0.5148,444.26
319,955.06,500.0,0.4551,455.56
320,409.92,167.0,0.7273,455.66
321,344.18,152.0,0.6322,454.75
322,260.65,130.0,0.5025,452.0
323,616.15,303.0,0.5167,455.07
324,460.86,240.0,0.4601,456.84
325,451.73,224.0,0.5083,457.85
326,510.86,208.0,0.728,460.88
327,312.73,164.0,0.4535,459.67
328,272.3,113.0,0.7049,457.58
329,507.37,202.0,0.7559,460.1
330,292.61,123.0,0.6895,457.97
331,899.33,500.0,0.3993,468.11
332,1058.65,485.0,0.5914,481.46
333,1086.55,500.0,0.5865,495.56
334,564.64,217.0,0.801,496.63
335,386.34,172.0,0.6231,496.7
336,983.54,445.0,0.6051,499.27
337,816.61,313.0,0.8045,507.8
338,282.48,116.0,0.7176,505.79
339,322.94,109.0,0.9814,504.0
340,1019.05,377.0,0.8515,517.05
341,1130.6,500.0,0.6306,531.53
342,405.41,143.0,0.9175,531.28
343,373.05,144.0,0.7953,536.57
344,412.19,149.0,0.8832,536.74
345,389.41,128.0,1.0211,527.06
346,375.39,126.0,0.9896,526.92
347,391.08,138.0,0.9169,527.88
348,489.9,238.0,0.5292,529.18
349,380.01,126.0,1.008,520.56
350,401.86,151.0,0.8306,522.27
351,368.57,123.0,0.9983,524.7
352,378.58,126.0,1.0023,521.2
353,398.64,125.0,1.0945,524.29
354,389.9,140.0,0.8925,522.23
355,385.89,135.0,0.9292,516.45
356,403.27,155.0,0.8009,517.93
357,413.68,151.0,0.8698,510.01
358,397.55,144.0,0.8804,508.88
359,1224.69,469.0,0.8056,525.78
360,1156.41,500.0,0.6564,541.05
361,1206.86,500.0,0.7069,554.27
362,921.02,500.0,0.421,559.91
363,969.23,500.0,0.4692,568.04
364,384.41,177.0,0.5859,565.66
365,704.67,270.0,0.8049,569.84
366,956.44,461.0,0.5374,584.81
367,269.48,123.0,0.5955,578.78
368,282.19,123.0,0.6471,575.5
369,624.65,265.0,0.6786,568.89
370,837.51,353.0,0.6863,577.44
371,622.2,240.0,0.7963,583.0
372,508.81,187.0,0.8604,587.97
373,1062.38,468.0,0.635,596.89
374,570.32,212.0,0.8451,599.08
375,634.98,263.0,0.7072,602.74
376,560.9,232.0,0.7088,603.75
377,272.3,140.0,0.4725,602.94
378,839.96,395.0,0.5632,614.29
379,529.44,213.0,0.7428,614.73
380,534.2,276.0,0.4678,619.56
381,361.59,164.0,0.6024,608.81
382,783.34,333.0,0.6762,603.3
383,562.26,229.0,0.7276,592.82
384,286.11,133.0,0.5756,587.25
385,299.97,132.0,0.6362,585.52
386,1058.54,500.0,0.5585,587.02
387,613.17,247.0,0.7412,582.95
388,618.25,257.0,0.7028,589.67
389,1055.05,500.0,0.5551,604.31
390,617.12,242.0,0.775,596.27
391,367.32,138.0,0.8309,581.0
392,819.44,500.0,0.3194,589.28
393,794.17,274.0,0.9492,597.71
394,1159.31,433.0,0.8387,612.65
395,585.3,239.0,0.7245,616.57
396,767.88,282.0,0.8615,624.42
397,1301.05,491.0,0.8249,642.62
398,657.16,242.0,0.8578,645.96
399,1349.28,490.0,0.8768,665.35
400,1049.3,500.0,0.5493,678.3
401,1079.93,437.0,0.7356,692.52
402,351.96,162.0,0.5863,691.99
403,737.07,265.0,0.8907,698.76
404,898.53,288.0,1.06,708.93
405,709.35,267.0,0.8284,715.4
406,401.49,147.0,0.8656,715.36
407,430.02,154.0,0.8962,715.69
408,400.68,144.0,0.8912,715.75
409,405.28,150.0,0.8509,699.37
410,811.43,329.0,0.7332,692.47
411,749.33,296.0,0.7658,683.32
412,1120.2,433.0,0.7935,687.3
413,1108.2,500.0,0.6082,690.08
414,824.49,288.0,0.9314,698.88
415,789.44,284.0,0.8899,700.58
416,382.15,147.0,0.7998,689.09
417,1081.84,371.0,0.958,705.34
418,860.52,352.0,0.7223,716.9
419,1109.95,422.0,0.8151,726.61
420,778.71,278.0,0.9006,725.43
421,782.01,313.0,0.7492,728.63
422,820.84,275.0,0.9924,734.87
423,413.15,164.0,0.7596,721.89
424,750.51,314.0,0.6951,725.49
425,892.75,500.0,0.3928,730.64
426,911.67,500.0,0.4117,737.66
427,1058.54,500.0,0.5585,753.38
428,948.47,500.0,0.4485,755.56
429,1092.7,434.0,0.7589,766.82
430,707.95,305.0,0.6606,770.3
431,1112.6,500.0,0.6126,785.32
432,1153.31,486.0,0.6865,792.71
